,geo,Country Name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
46,dnk,Denmark,30846.0,30725.0,31825.0,32804.0,34422.0,36051.0,37487.0,37722.0,38319.0,38572.0,39153.0,39595.0,40237.0,40107.0,42104.0,43153.0,44154.0,45405.0,46244.0,47450.0,49063.0,49290.0,49362.0,49420.0,50608.0,51648.0,53493.0,53740.0,53152.0,50274.0,50988.0,51457.0,51380.0,51644.0,52215.0,53062.0,54358.0,55533.0,56461.0,57821.0,55760.0
47,dji,Djibouti,3643.0,3555.0,3500.0,3408.0,3418.0,3376.0,3245.0,3188.0,3196.0,2962.0,2832.0,2492.0,2674.0,2886.0,2764.0,2900.0,2691.0,2712.0,2596.0,2559.0,2514.0,2487.0,2478.0,2664.0,2895.0,2959.0,3284.0,3386.0,3508.0,3618.0,3678.0,3774.0,3896.0,4028.0,4239.0,4489.0,4710.0,4885.0,5214.0,5535.0,5330.0
48,dma,Dominica,4344.0,4832.0,5070.0,5255.0,5542.0,5691.0,6172.0,6648.0,7257.0,7319.0,7776.0,7886.0,8026.0,8167.0,8145.0,8385.0,8665.0,8897.0,9287.0,9367.0,9611.0,9604.0,9309.0,9863.0,10123.0,10160.0,10614.0,11276.0,12073.0,11928.0,12004.0,11970.0,11835.0,11709.0,12218.0,11872.0,12155.0,11304.0,11537.0,11917.0,10672.0
49,dom,Dominican Republic,5419.0,5567.0,5592.0,5763.0,5706.0,5494.0,5590.0,5941.0,5909.0,6584.0,6203.0,6144.0,6706.0,7068.0,7122.0,7397.0,7707.0,8256.0,8670.0,9044.0,9322.0,9410.0,9691.0,9425.0,9533.0,10291.0,11087.0,11756.0,11981.0,11944.0,12782.0,13024.0,13220.0,13702.0,14500.0,15328.0,16167.0,16735.0,17712.0,18413.0,17013.0
50,ecu,Ecuador,8373.0,8518.0,8423.0,8068.0,8215.0,8380.0,8444.0,7749.0,8397.0,8237.0,8294.0,8450.0,8433.0,8407.0,8572.0,8576.0,8539.0,8724.0,8826.0,8243.0,8176.0,8351.0,8542.0,8626.0,9178.0,9504.0,9757.0,9806.0,10257.0,10149.0,10341.0,10984.0,11431.0,11819.0,12078.0,11896.0,11552.0,11618.0,11562.0,11375.0,10376.0
51,egy,Egypt,4592.0,4647.0,5019.0,5287.0,5489.0,5723.0,5744.0,5803.0,5958.0,6050.0,6087.0,6017.0,6153.0,6203.0,6321.0,6483.0,6671.0,6898.0,7138.0,7423.0,7745.0,7868.0,7905.0,8008.0,8184.0,8397.0,8814.0,9275.0,9764.0,10031.0,10340.0,10302.0,10301.0,10290.0,10354.0,10570.0,10796.0,11014.0,11366.0,11763.0,11944.0
52,slv,El Salvador,5378.0,5036.0,4840.0,4873.0,4958.0,5017.0,5004.0,5086.0,5121.0,5132.0,5265.0,5271.0,5564.0,5808.0,6002.0,6212.0,6196.0,6327.0,6437.0,6523.0,6549.0,6563.0,6627.0,6695.0,6721.0,6871.0,7137.0,7238.0,7393.0,7208.0,7329.0,7576.0,7755.0,7892.0,7990.0,8143.0,8310.0,8454.0,8616.0,8776.0,7984.0
53,gnq,Equatorial Guinea,2642.0,2576.0,2449.0,2388.0,2234.0,2368.0,2182.0,2143.0,2061.0,1902.0,1814.0,1715.0,1967.0,2053.0,2192.0,2378.0,3432.0,7519.0,8767.0,10467.0,11702.0,18303.0,20812.0,22503.0,29274.0,32390.0,33331.0,36685.0,41249.0,39914.0,34732.0,35378.0,36671.0,33679.0,32436.0,28314.0,24827.0,22551.0,20360.0,18558.0,16912.0
54,eri,Eritrea,1398.0,1415.0,1404.0,1481.0,1415.0,1226.0,1315.0,1464.0,1440.0,1400.0,1402.0,1549.0,1716.0,1963.0,2401.0,2486.0,2726.0,2943.0,2980.0,2939.0,2778.0,2917.0,2876.0,2670.0,2591.0,2557.0,2453.0,2423.0,2139.0,2181.0,2193.0,2351.0,1319.0,1295.0,1341.0,1391.0,1391.0,1395.0,1536.0,1575.0,1543.0
55,est,Estonia,13295.0,13745.0,14215.0,14671.0,15228.0,15371.0,15897.0,16116.0,17007.0,18217.0,16821.0,15053.0,12973.0,11948.0,12005.0,12775.0,13605.0,15556.0,16386.0,16272.0,17830.0,19017.0,20440.0,22125.0,23764.0,26169.0,28882.0,31211.0,29702.0,25464.0,26209.0,28246.0,29233.0,29732.0,30700.0,31246.0,32233.0,33964.0,35320.0,36956.0,35817.0
